"","Home.Type","Year","Living.Area","Area.Units","Bathrooms","Bedrooms","Garage","Levels","Pool","Spa","Price"
"1","Single Family",1956,3290,"Acres",4,14,"0",0,"0","0",239900
"2","Single Family",2020,2207,"Acres",3,3,"0",2,"0","0",744710
"3","Lot",2015,320,"Acres",0,1,"0",0,"0","0",26500
"4","Single Family",2021,2341,"Acres",5,4,"1",2,"0","0",985000
"5","Single Family",2001,2207,"Acres",2,3,"0",2,"0","0",564945
"6","Single Family",2021,2771,"Acres",4,4,"1",2,"0","0",795000
"7","Single Family",1995,624,"Acres",1,2,"0",0,"0","0",33000
"8","Single Family",2021,2100,"Acres",2,4,"1",1.5,"0","0",340000
"9","Single Family",2021,1968,"Acres",3,4,"0",0,"0","0",299900
"10","Lot",1942,988,"Acres",0,3,"0",0,"0","0",125000
"11","Single Family",2021,1865,"Acres",2,3,"1",1,"0","0",250000
"12","Single Family",2021,1865,"Acres",2,3,"1",1,"0","0",250000
"13","Single Family",2021,2149,"Acres",3,4,"1",1,"0","0",395000
"14","Single Family",1938,720,"Acres",1,2,"0",1,"0","0",45000
"15","Single Family",1920,897,"Acres",1,2,"0",0,"0","0",31900
"16","Single Family",1990,1954,"Acres",2,3,"1",0,"0","0",289900
"17","Single Family",1984,3392,"Acres",4,3,"1",0,"1","0",625000
"18","Single Family",1998,2543,"Acres",3,3,"1",4,"0","0",309900
"19","Single Family",2020,2100,"Acres",3,5,"0",0,"0","0",189998
"20","Single Family",1982,2698,"Acres",3,4,"0",1,"0","0",289900
"21","Single Family",2012,3600,"Acres",4,5,"1",2,"1","0",525000
"22","Condo",1974,1440,"Acres",3,3,"0",2,"0","0",115000
"23","Single Family",1983,1310,"Acres",2,3,"1",0,"0","0",275000
"24","Single Family",2021,3050,"Acres",4,4,"0",0,"0","0",1059000
"25","Single Family",2003,2282,"Acres",3,3,"1",2,"0","0",330000
"26","Single Family",2014,2892,"Acres",3,4,"1",2,"0","0",959000
"27","Single Family",1900,3000,"Acres",2,3,"0",0,"0","0",110000
"28","Single Family",2005,2650,"Acres",3,4,"1",2,"0","1",450000
"29","Single Family",2005,2870,"Acres",3,4,"1",2,"0","0",279000
"30","Single Family",2007,3250,"Acres",4,5,"1",0,"0","0",329000
"31","Single Family",2005,6315,"Acres",6,5,"1",2,"1","0",1399900
"32","Single Family",2005,6315,"Acres",6,5,"1",2,"1","0",1399900
"33","Single Family",2005,6315,"Acres",6,5,"1",2,"1","0",1399900
"34","Single Family",2005,6315,"Acres",6,5,"1",2,"1","0",1399900
"35","Single Family",2001,2799,"Acres",4,4,"1",1.5,"1","0",469900
"36","Single Family",1995,3152,"Acres",5,5,"1",2,"0","1",550000
"37","Single Family",2014,3947,"Acres",4,5,"1",2,"0","0",511000
"38","Single Family",1996,3121,"Acres",4,4,"1",1.5,"0","0",360000
"39","Single Family",2012,2813,"Acres",3,4,"1",0,"0","0",340000
"40","Single Family",1986,2611,"Acres",4,3,"0",0,"0","0",180000
"41","Single Family",2016,2965,"Acres",3,4,"1",2,"1","0",489900
"42","Single Family",2003,1748,"Acres",2,4,"1",1,"0","0",250000
"43","Single Family",1965,1059,"Acres",2,3,"0",1,"0","0",99000
"44","Single Family",2019,3236,"Acres",3,4,"1",2,"0","0",499900
"45","Single Family",1988,2080,"Acres",2,3,"0",0,"0","0",239900
"46","Single Family",2004,6719,"Acres",6,5,"1",2,"0","0",999000
"47","Single Family",1908,5367,"Acres",3,5,"0",0,"0","0",299900
"48","Single Family",1991,3408,"Acres",4,4,"1",2,"0","0",585000
"49","Single Family",1988,2938,"Acres",5,4,"1",2,"0","1",950000
"50","Single Family",1988,2938,"Acres",5,4,"1",2,"0","1",950000
"51","Single Family",1988,2938,"Acres",5,4,"1",2,"0","1",950000
"52","Single Family",1988,2938,"Acres",5,4,"1",2,"0","1",950000
"53","Single Family",1996,2073,"Acres",3,4,"1",2,"1","0",299000
"54","Single Family",2006,3650,"Acres",4,5,"1",2,"0","0",445000
"55","Single Family",1986,8156,"Acres",3,5,"1",1,"1","1",850000
"56","Single Family",1970,1132,"Acres",2,4,"0",0,"0","0",53000
"57","Single Family",1930,2570,"Acres",2,4,"0",1,"0","0",79900
"58","Single Family",2019,2122,"Acres",3,3,"0",0,"0","0",149000
"59","Single Family",1958,1688,"Acres",2,3,"0",0,"1","0",155000
"60","Single Family",2020,1701,"Acres",2,3,"1",1,"0","0",314900
"61","Single Family",1966,7826,"Acres",7,6,"0",0,"0","0",649000
"62","Single Family",1966,7826,"Acres",7,6,"0",0,"0","0",649000
"63","Single Family",1966,7826,"Acres",7,6,"0",0,"0","0",649000
"64","Single Family",1966,7826,"Acres",7,6,"0",0,"0","0",649000
"65","Single Family",1954,1979,"Acres",2,3,"0",0,"0","0",184900
"66","Single Family",1990,2726,"Acres",3,4,"0",0,"1","0",295000
"67","Single Family",2019,2073,"Acres",3,4,"1",2,"0","0",244900
"68","Single Family",1994,3891,"Acres",4,5,"0",0,"1","0",599000
"69","Single Family",1996,10750,"Acres",7,5,"1",2,"0","1",2388000
"70","Single Family",1890,4670,"Acres",4,4,"0",0,"0","0",1250000
"71","Single Family",1890,4670,"Acres",4,4,"0",0,"0","0",1250000
"72","Single Family",1890,4670,"Acres",4,4,"0",0,"0","0",1250000
"73","Single Family",1890,4670,"Acres",4,4,"0",0,"0","0",1250000
"74","Single Family",1940,1102,"Acres",2,3,"0",1,"0","0",135000
"75","Single Family",1985,3852,"Acres",3,5,"1",2,"1","0",449000
"76","Single Family",1975,3130,"Acres",3,3,"0",0,"1","0",289900
"77","Single Family",2006,1963,"Acres",2,3,"1",1.5,"0","1",212000
"78","Single Family",2006,1963,"Acres",2,3,"1",1.5,"0","1",212000
"79","Single Family",2006,1963,"Acres",2,3,"1",1.5,"0","1",212000
"80","Single Family",2006,1963,"Acres",2,3,"1",1.5,"0","1",212000
"81","Single Family",1979,1125,"Acres",1,3,"0",0,"0","0",80000
"82","Single Family",2002,1921,"Acres",2,3,"1",1.5,"0","0",295000
"83","Single Family",1961,6162,"Acres",5,5,"1",0,"1","0",788000
"84","Single Family",1979,2785,"Acres",3,3,"1",1,"0","1",385000
"85","Single Family",2017,1512,"Acres",2,3,"0",0,"0","0",249500
"86","Single Family",2000,1529,"Acres",2,3,"1",0,"0","0",125000
"87","Multi Family",1976,1716,"Acres",1,8,"1",1,"0","0",495500
"88","Single Family",1999,2134,"Acres",2,4,"1",1,"0","0",258000
"89","Single Family",2021,1696,"Acres",2,3,"0",0,"0","0",189000
"90","Single Family",2021,1696,"Acres",2,3,"0",0,"0","0",189000
"91","Single Family",2021,1696,"Acres",2,3,"0",0,"0","0",189000
"92","Single Family",2021,1696,"Acres",2,3,"0",0,"0","0",189000
"93","Single Family",2010,1280,"Acres",4,6,"0",1,"0","0",149900
"94","Single Family",1999,2306,"Acres",3,4,"0",1,"1","0",495000
"95","Single Family",1959,1495,"Acres",2,3,"0",0,"0","0",199900
"96","Single Family",1955,2772,"Acres",3,4,"1",1,"0","1",649900
"97","Single Family",1974,3330,"Acres",4,4,"1",2,"0","0",454500
"98","Single Family",1920,1348,"Acres",2,4,"1",0,"0","0",149900
"99","Single Family",1999,4366,"Acres",6,6,"0",0,"0","0",615000
"100","Single Family",1977,1933,"Acres",2,3,"0",0,"0","0",229500
"101","Single Family",2021,2450,"Acres",3,4,"1",2,"0","0",549000
"102","Single Family",1993,3306,"Acres",3,3,"1",1,"0","0",311900
"103","Single Family",2016,1591,"Acres",3,3,"0",2,"0","0",300000
"104","Single Family",1965,1786,"Acres",3,3,"0",0,"1","0",189900
"105","Single Family",1952,896,"Acres",1,2,"0",0,"0","0",39900
"106","Single Family",1971,1056,"Acres",1,3,"0",1,"0","0",144900
"107","Single Family",1971,1056,"Acres",1,3,"0",1,"0","0",144900
"108","Single Family",1971,1056,"Acres",1,3,"0",1,"0","0",144900
"109","Single Family",1971,1056,"Acres",1,3,"0",1,"0","0",144900
"110","Single Family",2006,5286,"Acres",5,6,"1",0,"0","0",689000
"111","Single Family",1967,1418,"Acres",2,3,"0",1,"0","0",329000
"112","Single Family",1942,1312,"Acres",2,3,"1",0,"0","0",195000
"113","Single Family",1920,1578,"Acres",2,2,"0",1,"0","0",475000
"114","Single Family",2018,3952,"Acres",4,4,"1",2,"0","0",859950
"115","Single Family",1973,2441,"Acres",4,4,"0",2,"0","0",680000
"116","Single Family",1973,2441,"Acres",4,4,"0",2,"0","0",680000
"117","Single Family",1973,2441,"Acres",4,4,"0",2,"0","0",680000
"118","Single Family",1973,2441,"Acres",4,4,"0",2,"0","0",680000
"119","Single Family",1983,2474,"Acres",3,4,"1",3,"0","0",220000
"120","Single Family",1983,2474,"Acres",3,4,"1",3,"0","0",220000
"121","Single Family",1983,2474,"Acres",3,4,"1",3,"0","0",220000
"122","Single Family",1983,2474,"Acres",3,4,"1",3,"0","0",220000
"123","Single Family",1946,1484,"Acres",2,3,"0",1,"0","0",145000
"124","Single Family",1937,2469,"Acres",4,3,"1",2,"0","0",249900
"125","Single Family",2018,2773,"Acres",3,4,"1",1,"0","0",499900
"126","Single Family",1990,1248,"Acres",2,4,"0",0,"0","0",89900
"127","Single Family",1979,1210,"Acres",2,3,"0",0,"0","0",169900
"128","Single Family",1998,3060,"Acres",3,3,"1",2,"0","0",350000
"129","Single Family",2018,2617,"Acres",4,5,"0",0,"0","0",380000
"130","Single Family",2002,1344,"Acres",2,3,"0",1,"0","0",137000
"131","Single Family",2007,8618,"Acres",6,5,"1",2,"1","1",1200000
"132","Single Family",1995,6250,"Acres",7,7,"1",2,"0","0",865000
"133","Single Family",2006,1624,"Acres",2,3,"0",0,"0","0",204900
"134","Single Family",2007,3182,"Acres",3,4,"1",1.5,"0","0",693000
"135","Single Family",1976,1872,"Acres",2,3,"0",0,"0","1",190000
"136","Single Family",1944,1235,"Acres",1,3,"0",0,"0","0",89900
"137","Single Family",1963,850,"Acres",1,2,"0",0,"0","0",69999
"138","Single Family",1957,4427,"Acres",4,4,"0",0,"1","0",260000
"139","Single Family",1965,1356,"Acres",2,3,"0",1,"0","0",249800
"140","Single Family",1974,2584,"Acres",3,4,"0",1,"0","0",749000
"141","Single Family",1987,2815,"Acres",3,4,"1",2,"0","0",269500
"142","Single Family",2000,1232,"Acres",2,3,"1",1,"0","0",229900
"143","Single Family",1996,4106,"Acres",4,4,"1",3,"1","0",599000
"144","Single Family",1974,2630,"Acres",4,4,"1",2,"0","0",379900
"145","Single Family",2002,1245,"Acres",2,3,"1",1,"0","0",214900
"146","Single Family",1985,2302,"Acres",3,4,"0",0,"0","0",169900
"147","Single Family",2016,2086,"Acres",3,4,"1",1.5,"0","0",309900
"148","Single Family",1968,1733,"Acres",2,4,"0",1,"0","0",269900
"149","Single Family",2000,1674,"Acres",2,3,"1",1,"0","0",225000
"150","Single Family",1992,6001,"Acres",5,6,"1",2,"0","1",675000
"151","Single Family",2015,2975,"Acres",3,5,"1",2,"0","0",339900
"152","Single Family",2007,6821,"Acres",5,5,"1",2,"0","0",739000
"153","Single Family",1999,2405,"Acres",2,3,"0",2,"0","0",299000
"154","Single Family",1992,2787,"Acres",3,4,"1",1,"0","0",264900
"155","Single Family",2021,6837,"Acres",8,6,"1",2,"1","0",5195000
"156","Single Family",1980,5217,"Acres",5,4,"1",1.5,"0","0",475000
"157","Single Family",1954,2144,"Acres",2,3,"0",1,"0","0",139500
"158","Single Family",2021,2591,"Acres",3,3,"1",2,"0","0",19500
"159","Single Family",2017,1160,"Acres",4,3,"1",1,"0","0",425000
"160","Single Family",1968,1740,"Acres",2,3,"0",1,"0","0",179900
"161","Single Family",1970,2622,"Acres",4,4,"0",2,"0","0",990000
"162","Single Family",2002,4981,"Acres",5,5,"1",4,"1","1",775000
"163","Single Family",1971,1491,"Acres",2,3,"1",1,"0","0",90000
"164","Single Family",1960,1338,"Acres",1,2,"0",0,"0","0",249000
"165","Single Family",1960,1338,"Acres",1,2,"0",0,"0","0",249000
